Date,Mileage,time_corr,pace_min
2009-04-25,3.1,0:29:38,9.559139784946236
2009-11-21,3.1,0:22:51,7.370967741935484
2010-01-04,1.3,0:17:00,13.076923076923077
2010-01-05,2.6,0:28:00,10.769230769230768
2010-01-07,2.6,0:28:00,10.769230769230768
2010-01-11,1.3,,
2010-01-14,2.6,0:26:00,10.0
2010-01-16,4.05,0:35:48,8.839506172839508
2010-01-19,2.6,0:24:00,9.23076923076923
2010-01-25,2.66,0:24:15,9.11654135338346
2010-01-26,2.6,0:24:19,9.352564102564104
2010-01-28,3.27,0:26:29,8.09887869520897
2010-02-04,2.6,0:24:03,9.25
2010-02-11,2.6,,
2010-02-16,2.6,0:22:04,8.487179487179487
2010-02-18,2.6,0:22:56,8.82051282051282
2010-03-13,3.0,0:29:28,9.822222222222223
2010-03-15,3.0,0:28:00,9.333333333333334
2010-03-16,3.0,0:30:00,10.0
2010-04-04,2.6,0:22:02,8.474358974358974
2010-04-24,3.1,0:24:12,7.806451612903226
2010-05-02,3.75,0:42:04,11.217777777777778
2010-05-11,2.6,0:22:10,8.525641025641026
2010-05-13,2.13,0:21:00,9.859154929577466
2010-05-19,2.6,0:20:15,7.788461538461537
2010-05-20,3.3,,
2010-05-22,4.05,0:37:34,9.275720164609053
2010-05-25,4.3,0:33:48,7.86046511627907
2010-05-27,5.4,0:38:58,7.216049382716049
2010-05-29,2.6,0:22:25,8.62179487179487
2010-06-03,4.05,0:36:50,9.094650205761317
2010-06-08,5.4,0:37:30,6.944444444444444
2010-06-09,1.5,0:17:00,11.333333333333334
2010-06-10,4.5,0:34:22,7.637037037037037
2010-06-13,2.6,0:23:36,9.076923076923077
2010-06-15,4.3,0:34:31,8.027131782945737
2010-06-16,4.5,,
2010-06-17,5.3,0:42:20,7.987421383647799
2010-06-20,2.88,,
2010-06-21,4.0,0:35:00,8.75
2010-06-22,2.6,0:25:34,9.833333333333334
2010-06-23,2.5,,
2010-06-25,5.7,0:53:19,9.353801169590643
2010-06-27,3.95,0:40:00,10.126582278481012
2010-07-06,2.94,,
2010-07-08,4.3,0:38:29,8.949612403100776
2010-07-11,4.05,0:35:58,8.880658436213992
2010-07-13,4.05,0:33:59,8.390946502057613
2010-07-15,2.6,0:18:58,7.294871794871795
2010-07-17,5.3,0:49:44,9.383647798742139
2010-07-20,4.78,,
2010-07-21,4.65,,
2010-07-22,1.34,,
2010-07-23,6.2,0:52:42,8.5
2010-07-27,2.28,0:16:13,7.112573099415205
2010-08-02,5.1,,
2010-08-03,1.54,,
2010-08-04,4.88,,
2010-08-05,1.01,,
2010-08-06,5.75,0:53:34,9.315942028985507
2010-08-09,5.14,0:39:49,7.746433203631648
2010-08-10,0.66,,
2010-08-11,3.07,,
2010-08-13,6.06,,
2010-08-16,4.0,,
2010-08-17,1.54,,
2010-08-18,3.9,,
2010-08-20,3.1,0:20:59,6.768817204301075
2010-08-23,2.0,,
2010-08-24,3.1,0:21:15,6.854838709677419
2010-08-26,5.5,,
2010-08-27,6.6,,
2010-08-30,4.6,,
2010-08-31,1.77,,
2010-09-01,3.1,0:21:01,6.779569892473118
2010-09-03,5.75,0:49:03,8.530434782608696
2010-09-06,4.05,0:30:33,7.5432098765432105
2010-09-07,1.98,,
2010-09-09,3.0,0:20:11,6.727777777777778
2010-09-10,5.15,,
2010-09-13,3.1,0:21:10,6.827956989247312
2010-09-16,6.0,,
2010-09-18,3.1,0:19:27,6.274193548387097
2010-09-20,5.1,,
2010-09-21,3.1,0:20:26,6.591397849462366
2010-09-23,1.1,,
2010-09-24,5.15,,
2010-09-26,4.4,0:37:00,8.409090909090908
2010-09-27,5.9,0:47:30,8.050847457627118
2010-09-28,1.54,,
2010-09-29,4.0,0:32:00,8.0
2010-09-30,0.88,,
2010-10-02,3.1,0:19:39,6.338709677419355
2010-10-04,6.2,,
2010-10-05,3.08,,
2010-10-07,3.1,0:19:42,6.354838709677419
2010-10-08,3.15,,
2010-10-11,3.4,,
2010-10-12,2.75,,
2010-10-15,3.1,0:19:57,6.435483870967742
2010-10-18,4.05,0:36:07,8.91769547325103
2010-10-19,2.54,,
2010-10-21,3.68,,
2010-10-22,5.66,0:40:49,7.2114252061248525
2010-10-24,4.05,0:31:35,7.798353909465021
2010-10-27,1.16,,
2010-10-28,1.2,,
2010-10-29,3.1,0:19:01,6.134408602150538
2010-11-02,2.33,0:14:20,6.1516452074391985
2010-11-03,2.7,,
2010-11-18,2.33,0:17:45,7.618025751072961
2010-11-23,4.05,0:28:21,7.0
2010-11-24,4.11,0:30:06,7.323600973236009
2010-11-25,4.16,0:32:25,7.792467948717948
2010-11-27,4.27,0:35:39,8.348946135831381
2010-11-30,2.25,0:16:31,7.340740740740741
2010-12-03,3.16,0:24:36,7.784810126582277
2010-12-07,2.6,0:18:27,7.096153846153846
2010-12-14,2.9,0:21:20,7.356321839080461
2010-12-18,3.1,0:25:00,8.064516129032258
2010-12-22,2.03,0:17:19,8.530377668308704
2010-12-23,4.05,0:31:33,7.790123456790124
2010-12-24,2.0,0:21:00,10.5
2010-12-30,5.1,0:42:42,8.372549019607844
2011-01-04,3.1,0:22:32,7.268817204301075
2011-01-07,3.1,0:24:18,7.838709677419355
2011-01-13,3.1,0:23:00,7.419354838709677
2011-01-17,4.2,0:36:30,8.690476190476192
2011-01-18,3.05,0:22:19,7.316939890710383
2011-01-22,3.75,,
2011-01-25,3.3,0:24:17,7.358585858585859
2011-02-01,2.95,0:21:58,7.446327683615819
2011-02-04,4.05,0:31:14,7.711934156378601
2011-02-05,3.75,,
2011-02-10,3.0,0:24:33,8.183333333333334
2011-02-11,3.06,0:22:33,7.369281045751634
2011-02-13,3.1,0:19:59,6.446236559139785
2011-02-21,4.2,0:35:57,8.559523809523808
2011-03-13,2.18,0:19:17,8.845565749235474
2011-04-02,3.2,0:23:17,7.276041666666667
2011-04-16,3.0,0:23:06,7.7
2011-04-19,3.0,0:32:50,10.944444444444445
2011-05-27,3.0,0:22:03,7.35
2011-05-31,3.0,0:25:29,8.494444444444445
2011-06-03,4.0,0:32:51,8.2125
2011-06-06,3.0,0:24:54,8.3
2011-06-08,4.1,0:34:30,8.414634146341465
2011-06-10,3.1,0:21:40,6.989247311827956
2011-06-15,2.6,0:17:39,6.788461538461538
2011-06-17,3.1,0:21:56,7.075268817204301
2011-06-21,3.1,0:22:10,7.150537634408602
2011-06-22,4.1,0:28:33,6.963414634146343
